DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
UF de residência: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2014-2025
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"412015 PORTO BARREIRO";-;-;-;3;-;-;-;3;-;-;1;95;2;104
"412020 PORTO RICO";-;23;103;14;-;1;173;231;12;365;118;64;164;1268
"412030 PORTO VITORIA";-;-;-;-;-;-;-;-;-;-;-;8;1;9
"412033 PRADO FERREIRA";-;4;71;48;14;7;23;213;9;60;865;827;227;2368
"412035 PRANCHITA";-;1;5;34;-;-;-;32;1;12;19;1699;19;1822
"412040 PRESIDENTE CASTELO BRANCO";-;425;242;15;3;-;13;515;5;37;11;164;59;1489
"412050 PRIMEIRO DE MAIO";3;177;335;279;88;2;1082;542;33;954;89;2413;1201;7198
"412060 PRUDENTOPOLIS";-;3;6;14;2;-;4;12;18;10;6;892;50;1017
"412065 QUARTO CENTENARIO";-;6;119;12;-;2;2;167;2;222;30;1096;107;1765
"412070 QUATIGUA";-;3;12;6;8;-;-;22;-;38;83;1045;96;1313
"412080 QUATRO BARRAS";-;-;3;20;-;-;2;3;1;5;10;101;8;153
"412085 QUATRO PONTES";-;-;22;5;-;-;24;597;19;148;38;763;38;1654
"412090 QUEDAS DO IGUACU";-;1;164;488;3;1;10;1271;5;645;252;5960;74;8874
"412100 QUERENCIA DO NORTE";-;188;102;12;5;1;57;1314;11;53;525;424;1704;4396
"412110 QUINTA DO SOL";-;7;31;3;1;-;462;465;-;41;99;1289;20;2418
"412120 QUITANDINHA";-;-;1;3;-;-;-;1;-;-;2;9;1;17
"412125 RAMILANDIA";-;-;7;35;1;1;8;165;8;58;37;394;23;737
"412130 RANCHO ALEGRE";-;3;28;359;1;4;36;56;5;13;37;487;112;1141
"412135 RANCHO ALEGRE D'OESTE";-;-;244;7;-;-;45;25;2;161;6;98;18;606
"412140 REALEZA";-;4;35;142;-;3;70;608;1;1492;434;2634;61;5484
"412150 REBOUCAS";-;-;1;2;-;-;-;-;-;4;5;884;13;909
"412160 RENASCENCA";-;-;2;1;-;-;-;2;5;133;2;448;3;596
"412170 RESERVA";-;3;1;4;1;-;-;14;-;40;12;1972;44;2091
"412175 RESERVA DO IGUACU";-;-;-;-;-;-;-;-;-;9;-;108;7;124
"412180 RIBEIRAO CLARO";-;1;75;8;-;1;2;87;5;7;64;881;465;1596
"412190 RIBEIRAO DO PINHAL";-;1;37;5;-;-;5;191;3;313;80;584;515;1734
"412200 RIO AZUL";-;-;1;-;-;-;3;-;-;-;-;43;-;47
"412210 RIO BOM";-;84;162;1;-;-;-;9;1;11;3;407;87;765
"412215 RIO BONITO DO IGUACU";-;1;-;4;-;-;5;12;3;16;77;1183;14;1315
"412217 RIO BRANCO DO IVAI";-;2;1;1;1;-;-;-;-;5;13;462;44;529
"412220 RIO BRANCO DO SUL";-;1;1;5;2;1;2;2;-;-;2;23;14;53
"412230 RIO NEGRO";-;-;-;1;-;-;2;-;2;4;5;54;7;75
"412240 ROLANDIA";1;371;422;252;145;47;145;6527;1803;283;515;7992;1389;19892
"412250 RONCADOR";-;2;7;9;2;2;9;152;136;63;23;2607;10;3022
"412260 RONDON";-;48;6;15;1;-;26;234;1;185;711;126;235;1588
"412265 ROSARIO DO IVAI";-;-;1;17;3;-;3;134;2;23;2;575;14;774
"412270 SABAUDIA";-;3;80;16;-;4;3;287;4;85;139;1054;165;1840
"412280 SALGADO FILHO";-;1;1;7;1;1;11;1;1;79;-;532;2;637
"412290 SALTO DO ITARARE";-;1;6;3;-;-;2;40;3;3;12;389;19;478
"412300 SALTO DO LONTRA";-;-;69;13;-;-;3;297;2;961;34;1308;62;2749
"412310 SANTA AMELIA";-;-;13;-;3;-;4;57;2;108;323;237;110;857
"412320 SANTA CECILIA DO PAVAO";-;-;4;336;1;-;8;199;5;46;267;299;347;1512
"412330 SANTA CRUZ DE MONTE CASTELO";-;37;48;12;3;-;75;957;55;125;409;283;1266;3270
"412340 SANTA FE";-;58;44;158;5;3;330;730;10;44;858;31;53;2324
"412350 SANTA HELENA";-;8;26;495;11;3;59;1577;355;1562;182;2430;221;6929
"412360 SANTA INES";-;5;2;16;1;-;19;351;-;18;194;11;78;695
"412370 SANTA ISABEL DO IVAI";-;41;547;9;1;7;954;1064;4;356;136;647;662;4428
"412380 SANTA IZABEL DO OESTE";-;1;3;91;1;-;4;417;1;927;644;1807;368;4264
"412382 SANTA LUCIA";-;1;-;18;2;1;11;26;-;269;23;1070;102;1523
"412385 SANTA MARIA DO OESTE";-;-;-;1;-;-;-;-;-;1;2;357;15;376
"412390 SANTA MARIANA";-;11;128;15;1;2;203;123;2;237;303;914;467;2406
"412395 SANTA MONICA";-;6;16;4;-;-;62;264;4;49;18;122;148;693
"412400 SANTANA DO ITARARE";-;1;3;1;-;-;45;3;2;53;-;37;123;268
"412402 SANTA TEREZA DO OESTE";-;17;133;49;24;-;42;244;34;826;342;3206;348;5265
"412405 SANTA TEREZINHA DE ITAIPU";1;67;180;942;7;11;522;887;255;184;2699;1162;259;7176
"412410 SANTO ANTONIO DA PLATINA";-;264;1059;66;8;6;53;2180;12;100;352;4448;712;9260
"412420 SANTO ANTONIO DO CAIUA";-;39;117;10;3;1;16;479;158;23;24;103;68;1041
"412430 SANTO ANTONIO DO PARAISO";-;-;6;18;6;-;14;10;-;12;6;145;5;222
"412440 SANTO ANTONIO DO SUDOESTE";-;-;3;12;2;-;1;385;3;83;46;5161;49;5745
"412450 SANTO INACIO";-;16;18;23;2;-;87;141;7;47;159;19;63;582
"412460 SAO CARLOS DO IVAI";-;8;10;7;-;-;135;136;10;245;38;616;55;1260
"412470 SAO JERONIMO DA SERRA";-;-;7;43;-;-;4;20;5;13;53;622;25;792
"412480 SAO JOAO";-;-;6;11;-;1;2;143;1;41;645;2129;10;2989
"412490 SAO JOAO DO CAIUA";-;69;1061;-;-;2;9;487;14;110;110;1088;180;3130
"412500 SAO JOAO DO IVAI";-;5;12;5;-;138;7;299;1;411;102;1314;28;2322
"412510 SAO JOAO DO TRIUNFO";-;-;-;1;-;-;2;-;-;1;-;28;4;36
"412520 SAO JORGE D'OESTE";-;-;49;25;-;-;5;27;1;251;265;1890;12;2525
"412530 SAO JORGE DO IVAI";-;30;101;36;1;-;11;292;2;877;29;382;600;2361
"412535 SAO JORGE DO PATROCINIO";-;3;32;5;-;-;2;351;4;642;377;175;779;2370
"412540 SAO JOSE DA BOA VISTA";-;-;-;-;-;1;-;-;3;-;13;352;158;527
"412545 SAO JOSE DAS PALMEIRAS";-;3;8;1;-;1;3;14;1;51;104;297;5;488
"412550 SAO JOSE DOS PINHAIS";-;5;24;80;3;10;16;47;11;35;93;705;117;1146
"412555 SAO MANOEL DO PARANA";-;3;47;4;-;-;8;61;1;95;89;167;9;484
"412560 SAO MATEUS DO SUL";-;-;2;11;5;5;3;3;-;2;3;171;7;212
"412570 SAO MIGUEL DO IGUACU";-;35;166;659;12;12;290;628;90;546;1784;2291;806;7319
"412575 SAO PEDRO DO IGUACU";-;1;16;9;-;-;1;268;1;37;11;255;18;617
"412580 SAO PEDRO DO IVAI";-;10;36;7;-;5;137;237;102;34;460;1552;79;2659
"412590 SAO PEDRO DO PARANA";-;12;101;1;-;-;16;146;-;108;91;85;161;721
"412600 SAO SEBASTIAO DA AMOREIRA";-;2;25;84;-;-;6;169;50;759;63;406;591;2155
"412610 SAO TOME";-;20;6;8;-;-;20;155;2;303;10;472;15;1011
"412620 SAPOPEMA";-;-;-;-;-;-;-;13;1;2;16;794;103;929
"412625 SARANDI";1;2006;215;2754;21;6;616;5860;35;760;616;3835;147;16872
"412627 SAUDADE DO IGUACU";-;-;1;4;-;-;-;7;6;86;6;663;39;812
"412630 SENGES";-;-;2;2;-;-;-;331;1385;2;1;1532;30;3285
"412635 SERRANOPOLIS DO IGUACU";-;7;20;104;13;8;31;300;344;80;93;229;22;1251
"412640 SERTANEJA";-;15;20;7;-;-;57;364;10;46;214;676;140;1549
"412650 SERTANOPOLIS";-;43;558;353;14;6;1381;1620;113;244;727;1150;332;6541
"412660 SIQUEIRA CAMPOS";-;6;143;8;8;4;6;3;4;5;46;3032;78;3343
"412665 SULINA";-;-;-;5;1;-;-;1;-;76;4;737;4;828
"412667 TAMARANA";4;36;64;37;18;8;67;301;46;6;164;2261;339;3351
"412670 TAMBOARA";-;248;42;24;31;2;34;339;7;27;164;300;31;1249
"412680 TAPEJARA";-;3;253;4;1;1;90;1441;2;460;147;171;105;2678
"412690 TAPIRA";-;34;72;37;2;1;3;87;42;544;114;778;249;1963
"412700 TEIXEIRA SOARES";-;-;3;1;-;-;-;-;-;3;3;39;3;52
"412710 TELEMACO BORBA";-;1;30;34;3;3;12;52;18;449;100;10976;550;12228
"412720 TERRA BOA";-;179;14;33;-;-;94;1492;3;3255;7;180;38;5295
"412730 TERRA RICA";-;12;182;36;-;3;159;822;37;218;709;294;132;2604
"412740 TERRA ROXA";-;149;128;98;11;9;626;307;14;174;642;1550;99;3807
"412750 TIBAGI";-;1;1;5;1;-;-;47;-;1179;-;146;17;1397
"412760 TIJUCAS DO SUL";-;-;2;4;2;-;2;6;1;-;5;16;4;42
"412770 TOLEDO";1;24;719;730;12;6;113;4817;60;4409;1119;9947;1623;23580
"412780 TOMAZINA";-;1;3;1;-;1;3;21;1;8;89;218;19;365
"412785 TRES BARRAS DO PARANA";-;1;5;65;13;5;5;30;40;250;322;2714;34;3484
"412788 TUNAS DO PARANA";-;-;-;1;-;-;1;-;-;-;-;-;3;5
"412790 TUNEIRAS DO OESTE";-;4;9;49;-;4;5;329;3;50;194;1700;6;2353
"412795 TUPASSI";-;-;151;9;1;-;27;698;-;401;50;1437;33;2807
"412796 TURVO";-;-;3;2;-;-;-;1;-;8;2;66;6;88
"412800 UBIRATA";-;21;46;422;2;1;55;1540;854;815;30;497;24;4307
"412810 UMUARAMA";1;122;687;58;39;5;494;6381;102;1588;560;8767;713;19517
"412820 UNIAO DA VITORIA";-;2;1;8;2;-;1;2;-;2;5;225;12;260
"412830 UNIFLOR";-;3;32;3;-;-;155;116;-;42;33;129;41;554
"412840 URAI";-;67;456;16;1;37;684;186;225;21;59;780;56;2588
"412850 WENCESLAU BRAZ";-;-;10;4;-;-;2;8;-;12;8;1340;19;1403
"412853 VENTANIA";-;-;1;-;-;-;-;2;-;3;2;108;15;131
"412855 VERA CRUZ DO OESTE";-;6;31;40;7;30;4;248;2;884;210;1000;57;2519
"412860 VERE";-;-;77;5;2;1;1;14;1;1048;85;689;18;1941
"412862 ALTO PARAISO";-;2;25;1;2;2;7;304;2;75;3;109;68;600
"412863 DOUTOR ULYSSES";-;-;-;-;-;-;-;-;-;1;1;2;-;4
"412865 VIRMOND";-;-;1;-;-;-;-;1;1;4;-;219;9;235
"412870 VITORINO";-;-;-;3;-;-;-;2;1;94;14;1332;11;1457
"412880 XAMBRE";-;10;75;13;8;1;43;391;5;158;229;730;76;1739
"420005 ABDON BATISTA";-;-;-;-;-;1;1;-;-;-;-;2;-;4
"420010 ABELARDO LUZ";-;-;-;5;-;-;-;20;5;795;9;88;15;937
"420020 AGROLANDIA";-;-;1;-;-;-;-;-;-;2;2;10;2;17
"420030 AGRONOMICA";-;-;1;1;1;-;-;1;-;-;4;20;1;29
"420040 AGUA DOCE";-;-;-;-;-;-;-;1;-;1;-;12;1;15
"420050 AGUAS DE CHAPECO";-;-;-;1;-;-;-;25;-;85;191;1310;8;1620
"420055 AGUAS FRIAS";-;-;-;9;-;-;-;1;-;48;61;70;1;190
"420060 AGUAS MORNAS";-;-;-;1;-;-;-;-;-;2;29;13;5;50
"420070 ALFREDO WAGNER";-;-;-;4;1;-;-;1;-;1;8;3;2;20
"420075 ALTO BELA VISTA";-;-;-;-;-;-;-;-;3;29;3;6;-;41
"420080 ANCHIETA";-;-;2;2;-;-;1;9;1;40;1;101;14;171
"420090 ANGELINA";-;-;-;-;-;-;1;2;-;1;4;9;-;17
"420100 ANITA GARIBALDI";-;-;-;-;-;-;-;1;-;-;-;4;1;6
"420110 ANITAPOLIS";-;-;-;-;-;-;-;-;-;1;4;9;-;14
"420120 ANTONIO CARLOS";-;-;2;-;-;-;1;-;1;10;48;40;11;113
"420125 APIUNA";-;-;2;-;-;-;-;-;-;38;134;430;4;608
"420127 ARABUTA";-;1;-;-;-;-;-;-;-;24;14;10;9;58
"420130 ARAQUARI";-;-;3;3;1;-;-;27;81;122;1585;6079;241;8142
"420140 ARARANGUA";-;1;4;2;-;-;-;2;-;3;15;51;23;101
"420150 ARMAZEM";-;-;-;1;-;-;-;-;1;1;1;1;2;7
"420160 ARROIO TRINTA";-;-;1;-;-;-;-;-;-;-;2;12;1;16
"420165 ARVOREDO";-;-;-;2;-;1;-;-;-;11;-;45;5;64
"420170 ASCURRA";-;-;1;-;-;1;-;-;-;356;12;121;12;503
"420180 ATALANTA";-;-;-;1;-;-;-;-;-;-;2;14;-;17
"420190 AURORA";-;-;-;-;-;-;-;-;-;1;6;12;2;21
"420195 BALNEARIO ARROIO DO SILVA";-;-;1;3;-;-;-;-;1;2;6;15;3;31
"420200 BALNEARIO CAMBORIU";-;2;99;69;3;15;119;279;130;278;4482;7125;756;13357
"420205 BALNEARIO BARRA DO SUL";-;1;4;2;-;2;-;3;30;48;571;2567;42;3270
"420207 BALNEARIO GAIVOTA";-;-;-;-;-;-;-;1;-;2;1;21;50;75
"420208 BANDEIRANTE";-;-;-;-;-;-;-;1;-;5;2;34;18;60
"420209 BARRA BONITA";-;-;-;1;-;-;-;-;-;47;2;38;5;93
"420210 BARRA VELHA";-;1;4;3;1;3;3;14;34;65;1273;2724;245;4370
"420213 BELA VISTA DO TOLDO";-;-;1;2;-;-;-;-;-;-;1;2;-;6
"420215 BELMONTE";-;-;-;1;-;-;2;-;2;454;2;28;6;495
"420220 BENEDITO NOVO";-;-;1;1;-;-;1;-;-;12;2;39;5;61
"420230 BIGUACU";-;-;5;10;1;2;3;3;4;69;2133;597;306;3133
"420240 BLUMENAU";-;2;27;28;1;1;32;20;36;10441;2298;59579;434;72899
"420243 BOCAINA DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"420245 BOMBINHAS";-;5;32;19;2;3;27;133;22;501;511;1092;203;2550
"420250 BOM JARDIM DA SERRA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"420253 BOM JESUS";-;-;-;97;-;-;-;1;-;35;3;424;4;564
"420257 BOM JESUS DO OESTE";-;-;2;3;-;-;2;-;-;30;2;14;-;53
"420260 BOM RETIRO";-;-;-;1;-;-;-;-;-;1;4;3;1;10
"420270 BOTUVERA";-;-;1;1;-;-;1;2;1;40;2;14;2;64
"420280 BRACO DO NORTE";-;-;6;3;-;-;-;-;-;3;20;667;13;712
"420285 BRACO DO TROMBUDO";-;-;-;1;-;-;-;-;-;-;-;4;1;6
"420287 BRUNOPOLIS";-;-;-;-;-;-;-;1;-;-;-;5;-;6
"420290 BRUSQUE";-;-;8;19;1;1;14;48;22;4978;149;3519;61;8820
"420300 CACADOR";-;-;2;2;1;-;-;1;-;7;17;68;197;295
"420310 CAIBI";-;-;-;9;-;5;2;31;-;393;1;219;5;665
"420320 CAMBORIU";-;5;16;13;2;5;438;60;339;67;1801;3271;995;7012
"420325 CAPAO ALTO";-;-;-;-;-;-;-;-;-;-;1;1;-;2
"420330 CAMPO ALEGRE";-;-;-;1;1;-;1;-;8;6;18;31;-;66
"420340 CAMPO BELO DO SUL";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"420350 CAMPO ERE";-;-;2;-;-;1;1;6;18;46;2;652;1;729
"420360 CAMPOS NOVOS";-;-;-;3;-;-;1;-;-;1;5;135;7;152
"420370 CANELINHA";-;-;2;-;-;1;2;2;-;21;58;152;56;294
"420380 CANOINHAS";-;-;8;6;-;1;1;3;-;3;11;75;14;122
"420390 CAPINZAL";-;1;1;2;-;-;-;-;-;3;-;431;68;506
"420395 CAPIVARI DE BAIXO";-;-;2;5;2;-;1;1;-;3;10;18;8;50
"420400 CATANDUVAS";-;-;-;-;-;1;1;-;-;7;-;10;94;113
"420410 CAXAMBU DO SUL";-;1;-;2;-;-;-;2;-;421;-;603;9;1038
"420415 CELSO RAMOS";-;-;1;-;-;-;-;-;-;-;-;4;-;5
"420417 CERRO NEGRO";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420419 CHAPADAO DO LAGEADO";-;-;-;-;-;-;-;-;-;1;2;2;3;8
"420420 CHAPECO";-;3;46;829;-;-;19;158;69;6991;200;8844;1673;18832
"420425 COCAL DO SUL";-;-;-;-;-;-;-;-;-;1;3;18;3;25
"420430 CONCORDIA";-;-;4;10;-;1;3;3;45;5053;523;2425;151;8218
"420435 CORDILHEIRA ALTA";-;-;1;2;-;-;-;2;2;68;2;63;76;216
"420440 CORONEL FREITAS";-;-;-;159;-;1;1;86;2;1859;79;176;15;2378
"420445 CORONEL MARTINS";-;-;-;1;1;-;-;-;-;-;-;7;-;9
"420450 CORUPA";-;-;1;1;-;-;-;-;-;1;8;230;50;291
"420455 CORREIA PINTO";-;-;2;-;-;-;-;-;-;-;2;12;1;17
"420460 CRICIUMA";-;1;8;16;3;-;2;3;1;13;33;83;32;195
"420470 CUNHA PORA";-;-;-;8;2;2;33;9;6;317;15;483;113;988
"420475 CUNHATAI";-;-;-;-;-;-;-;1;-;68;3;162;5;239
"420480 CURITIBANOS";-;-;4;2;-;-;-;-;-;4;7;31;-;48
"420490 DESCANSO";-;-;1;106;1;-;-;2;5;95;8;102;33;353
"420500 DIONISIO CERQUEIRA";-;-;2;8;-;1;1;18;1;41;8;289;20;389
"420510 DONA EMMA";-;-;-;-;-;-;-;-;1;-;1;10;2;14
"420515 DOUTOR PEDRINHO";-;-;-;1;1;-;-;-;-;1;1;13;-;17
"420517 ENTRE RIOS";-;-;-;1;-;-;-;3;-;28;10;338;-;380
"420519 ERMO";-;-;1;-;-;-;-;-;-;1;-;1;2;5
"420520 ERVAL VELHO";-;-;-;1;-;-;-;-;-;-;-;5;4;10
"420530 FAXINAL DOS GUEDES";-;-;-;10;-;1;1;1;-;23;-;53;2;91
"420535 FLOR DO SERTAO";-;-;-;2;1;1;-;2;2;181;-;29;10;228
"420540 FLORIANOPOLIS";-;18;89;253;63;17;94;153;224;4405;35568;14280;6507;61671
"420543 FORMOSA DO SUL";-;-;-;2;-;-;-;44;3;15;4;251;1;320
"420545 FORQUILHINHA";-;-;-;1;-;-;1;-;2;1;8;13;6;32
"420550 FRAIBURGO";-;-;-;-;-;-;-;2;1;5;4;29;6;47
"420555 FREI ROGERIO";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"420560 GALVAO";-;-;1;2;-;-;-;-;-;3;-;142;2;150
"420570 GAROPABA";-;1;2;3;-;2;2;-;-;10;38;65;27;150
"420580 GARUVA";-;-;1;2;-;2;2;14;22;518;996;2843;20;4420
"420590 GASPAR";-;-;2;4;-;-;2;11;5;141;104;2606;32;2907
"420600 GOVERNADOR CELSO RAMOS";-;-;4;3;2;1;7;2;-;18;138;178;41;394
"420610 GRAO PARA";-;-;-;-;-;1;2;-;-;-;1;10;1;15
"420620 GRAVATAL";-;-;1;1;-;-;1;-;-;2;4;19;6;34
"420630 GUABIRUBA";-;-;5;4;-;1;2;3;4;265;75;182;11;552
"420640 GUARACIABA";-;1;3;12;1;-;2;3;1;1143;5;80;34;1285
"420650 GUARAMIRIM";-;-;5;3;-;-;-;10;9;17;38;572;58;712
"420660 GUARUJA DO SUL";-;-;3;-;-;-;-;2;-;61;7;476;5;554
"420665 GUATAMBU";-;1;-;2;-;-;-;5;-;80;-;276;24;388
"420670 HERVAL D'OESTE";-;-;1;1;2;-;-;-;1;6;9;258;24;302
"420675 IBIAM";-;-;-;-;-;-;-;-;-;-;-;2;-;2
"420680 IBICARE";-;-;1;-;-;-;-;-;-;5;-;2;1;9
"420690 IBIRAMA";-;-;-;-;-;-;-;1;-;5;12;57;20;95
"420700 ICARA";-;-;1;-;1;1;-;1;-;9;11;17;10;51
"420710 ILHOTA";-;-;20;16;6;5;1;5;3;13;25;407;16;517
"420720 IMARUI";-;-;2;-;-;1;-;-;2;4;6;12;1;28
"420730 IMBITUBA";-;1;5;3;-;1;4;1;1;11;25;52;23;127
"420740 IMBUIA";-;-;-;-;-;-;-;-;-;-;5;7;-;12
"420750 INDAIAL";-;2;11;3;1;-;2;5;12;69;44;11548;53;11750
"420757 IOMERE";-;-;-;-;-;-;-;-;-;-;-;6;5;11
"420760 IPIRA";-;-;-;2;-;-;1;-;1;5;14;257;3;283
"420765 IPORA DO OESTE";-;-;4;23;12;3;1;3;3;1155;3;133;11;1351
"420768 IPUACU";-;-;-;4;-;-;-;15;1;37;1;421;5;484
"420770 IPUMIRIM";-;-;2;-;-;-;-;-;-;129;-;15;3;149
"420775 IRACEMINHA";-;-;-;-;-;-;-;-;-;133;2;54;4;193
"420780 IRANI";-;-;-;-;-;-;-;-;-;7;2;15;7;31
"420785 IRATI";-;-;-;-;-;-;-;7;1;6;17;78;-;109
"420790 IRINEOPOLIS";-;-;-;-;-;-;-;-;-;-;6;22;-;28
"420800 ITA";-;-;3;2;-;-;-;-;3;982;10;7;13;1020
"420810 ITAIOPOLIS";-;-;1;1;1;-;-;1;-;2;4;24;-;34
"420820 ITAJAI";-;16;3550;91;1;6;84;228;369;351;5038;41712;3719;55165
"420830 ITAPEMA";-;1;33;14;2;31;779;101;43;242;1727;1559;1680;6212
"420840 ITAPIRANGA";-;-;2;-;-;-;1;5;2;116;150;1852;10;2138
"420845 ITAPOA";-;2;8;6;1;-;9;10;6;18;111;3081;152;3404
"420850 ITUPORANGA";-;-;-;3;-;-;2;1;-;-;4;36;34;80
"420860 JABORA";-;-;1;1;-;-;-;1;-;2;1;6;12;24
"420870 JACINTO MACHADO";-;-;-;-;-;-;-;-;-;1;-;4;2;7
"420880 JAGUARUNA";-;-;1;4;-;-;-;1;-;1;6;12;1;26
"420890 JARAGUA DO SUL";-;6;13;10;1;-;3;31;11;71;178;17560;337;18221
"420895 JARDINOPOLIS";-;-;1;2;-;-;-;-;1;6;36;135;107;288
"420900 JOACABA";-;2;2;1;-;1;1;1;-;11;7;73;32;131
"420910 JOINVILLE";-;9;50;29;1;5;21;8753;16423;21308;44687;80215;1223;172724
"420915 JOSE BOITEUX";-;-;-;1;-;-;-;-;-;2;3;4;1;11
"420917 JUPIA";-;-;-;-;-;-;-;-;-;-;1;73;2;76
"420920 LACERDOPOLIS";-;-;-;-;-;-;-;-;-;-;-;4;4;8
"420930 LAGES";-;2;6;7;-;-;3;-;1;6;29;105;13;172
"420940 LAGUNA";-;-;4;1;1;1;1;2;-;4;9;22;3;48
"420945 LAJEADO GRANDE";-;-;-;-;-;-;-;-;-;2;-;56;3;61
"420950 LAURENTINO";-;-;-;1;-;-;-;-;-;4;3;3;2;13
"420960 LAURO MULLER";-;-;-;-;-;-;-;-;-;-;5;5;3;13
"420970 LEBON REGIS";-;-;-;1;-;-;-;-;-;-;-;5;1;7
"420980 LEOBERTO LEAL";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"420985 LINDOIA DO SUL";-;2;-;-;1;-;-;-;-;14;2;12;13;44
"420990 LONTRAS";-;1;2;-;-;-;-;-;1;1;3;22;3;33
"421000 LUIZ ALVES";-;-;1;5;-;2;1;4;-;4;12;256;18;303
"421003 LUZERNA";-;-;1;3;-;-;-;-;-;6;4;50;6;70
"421010 MAFRA";-;-;4;2;1;-;1;1;3;7;15;94;3;131
"421020 MAJOR GERCINO";-;-;1;-;-;1;-;-;-;1;1;17;7;28
"421030 MAJOR VIEIRA";-;-;-;-;-;-;-;-;-;-;2;3;1;6
"421040 MARACAJA";-;-;-;1;-;2;-;-;-;-;3;10;1;17
"421050 MARAVILHA";-;1;-;9;-;1;13;132;3;4145;16;1005;65;5390
"421055 MAREMA";-;-;-;1;-;-;-;-;-;11;-;75;1;88
"421060 MASSARANDUBA";-;2;2;-;-;-;2;2;2;9;11;89;7;126
"421070 MATOS COSTA";-;-;-;-;1;-;-;-;-;-;-;1;-;2
"421080 MELEIRO";-;-;-;-;-;-;-;-;-;-;1;2;-;3
"421085 MIRIM DOCE";-;-;-;-;-;-;-;-;-;1;-;1;1;3
"421090 MODELO";-;-;1;39;1;-;-;-;-;19;6;94;3;163
"421100 MONDAI";-;1;2;1;-;1;-;18;2;1757;9;695;34;2520
"421105 MONTE CARLO";-;-;-;-;-;-;-;-;-;-;-;8;2;10
"421110 MONTE CASTELO";-;-;-;-;-;-;1;-;-;-;3;7;-;11
"421120 MORRO DA FUMACA";-;1;-;-;-;-;-;1;-;3;2;2;7;16
"421125 MORRO GRANDE";-;-;-;-;-;-;-;-;-;-;1;-;1;2
"421130 NAVEGANTES";-;4;73;53;9;6;59;357;968;353;1872;6555;134;10443
"421140 NOVA ERECHIM";-;-;3;19;-;-;-;4;4;39;2;688;2;761
"421145 NOVA ITABERABA";-;1;-;4;-;-;3;4;1;133;4;116;9;275
"421150 NOVA TRENTO";-;-;2;3;-;-;4;1;-;45;59;462;12;588
"421160 NOVA VENEZA";-;-;1;1;-;-;-;-;-;2;6;-;1;11
"421165 NOVO HORIZONTE";-;-;-;-;1;-;-;-;-;2;-;126;-;129
"421170 ORLEANS";-;-;3;-;-;-;1;-;-;4;5;19;5;37
"421175 OTACILIO COSTA";-;-;1;-;-;-;-;-;-;1;1;20;1;24
"421180 OURO";-;1;-;-;-;1;-;-;-;-;-;65;15;82
"421185 OURO VERDE";-;-;-;3;-;-;-;-;-;13;1;13;-;30
"421187 PAIAL";-;-;-;-;-;-;-;-;-;9;-;12;15;36
"421189 PAINEL";-;-;-;-;-;-;1;-;-;-;1;1;-;3
"421190 PALHOCA";-;1;11;19;3;1;12;7;46;386;12802;744;515;14547
"421200 PALMA SOLA";-;-;1;3;-;1;1;18;9;12;-;327;55;427
"421205 PALMEIRA";-;-;1;-;-;-;-;-;-;-;2;1;-;4
"421210 PALMITOS";-;-;1;10;-;-;3;22;1;2040;41;630;18;2766
"421220 PAPANDUVA";-;1;1;2;1;-;1;1;1;1;5;13;2;29
"421223 PARAISO";-;-;-;1;1;-;-;-;-;36;-;69;11;118
"421225 PASSO DE TORRES";-;1;-;-;-;-;-;-;-;-;4;50;5;60
"421227 PASSOS MAIA";-;-;-;-;-;-;-;-;-;2;-;27;6;35
"421230 PAULO LOPES";-;-;1;-;-;-;1;-;-;10;87;60;4;163
"421240 PEDRAS GRANDES";-;-;-;-;-;-;1;-;-;-;-;2;-;3
"421250 PENHA";-;1;13;18;-;1;7;15;60;157;575;2271;158;3276
"421260 PERITIBA";-;1;-;-;-;-;-;-;-;127;4;2;2;136
"421265 PESCARIA BRAVA";-;-;1;-;-;-;-;-;1;1;4;5;-;12
"421270 PETROLANDIA";-;-;3;-;-;-;-;-;-;-;1;9;2;15
"421280 BALNEARIO PICARRAS";-;1;7;3;2;-;2;7;47;89;598;2096;186;3038
"421290 PINHALZINHO";-;-;7;2372;-;-;2;19;8;112;49;514;153;3236
"421300 PINHEIRO PRETO";-;-;-;-;-;-;-;-;-;-;-;1;1;2
"421310 PIRATUBA";-;-;1;-;-;-;-;-;-;89;5;133;5;233
"421315 PLANALTO ALEGRE";-;1;-;-;-;-;1;1;-;18;2;113;20;156
